date,site,transect,unit_type,observer,location_surveyed,time_minutes,timeofstart,species,size_cm,number,largest_school,notes
,,,,,,,,H.symmetricus,0-2,0,0,
,,,,,,,,H.symmetricus,2-5,0,0,
,,,,,,,,H.symmetricus,5-10,0,0,
,,,,,,,,H.symmetricus,10-15,0,0,
,,,,,,,,O.mykiss,0-4,0,0,
,,,,,,,,O.mykiss,4-8,0,0,
,,,,,,,,O.mykiss,8-12,0,0,
,,,,,,,,O.mykiss,12-20,0,0,
,,,,,,,,O.mykiss,20-25,0,0,
,,,,,,,,O.mykiss,25-30,0,0,
,,,,,,,,O.mykiss,30-40,0,0,
,,,,,,,,O.mykiss,40-60,0,0,
,,,,,,,,O.kisutch,0-4,0,0,
,,,,,,,,O.kisutch,4-8,0,0,
,,,,,,,,O.kisutch,8-12,0,0,
,,,,,,,,O.kisutch,12-20,0,0,
,,,,,,,,G.aculeatus,0-2,0,0,
,,,,,,,,G.aculeatus,2-5,0,0,
,,,,,,,,G.aculeatus,5-10,0,0,
,,,,,,,,P.grandis,0-5,0,0,
,,,,,,,,P.grandis,5-10,0,0,
,,,,,,,,P.grandis,10-15,0,0,
,,,,,,,,P.grandis,15-20,0,0,
,,,,,,,,P.grandis,20-25,0,0,
,,,,,,,,P.grandis,25-30,0,0,
,,,,,,,,P.grandis,30-40,0,0,
,,,,,,,,P.grandis,40-60,0,0,
,,,,,,,,P.grandis,60-80,0,0,
,,,,,,,,P.grandis,80-100,0,0,
,,,,,,,,C.occidentalis,0-3,0,0,
,,,,,,,,C.occidentalis,3-5,0,0,
,,,,,,,,C.occidentalis,5-10,0,0,
,,,,,,,,C.occidentalis,10-15,0,0,
,,,,,,,,C.occidentalis,20,0,0,
,,,,,,,,C.occidentalis,25,0,0,
,,,,,,,,C.occidentalis,30,0,0,
,,,,,,,,C.occidentalis,40,0,0,
,,,,,,,,E.tridentatus,50-70,0,0,
,,,,,,,,E.tridentatus,50-70(dead),0,0,
,,,,,,,,M.salmoides,5,0,0,
,,,,,,,,M.salmoides,10,0,0,
,,,,,,,,M.salmoides,15,0,0,
,,,,,,,,M.salmoides,20,0,0,
,,,,,,,,M.salmoides,30,0,0,
,,,,,,,,M.salmoides,2,0,0,
,,,,,,,,L.cyanellus,5,0,0,
,,,,,,,,L.cyanellus,10,0,0,
,,,,,,,,L.cyanellus,15,0,0,
,,,,,,,,L.cyanellus,20,0,0,
,,,,,,,,L.cyanellus,30,0,0,
,,,,,,,,L.macrochirus,5,0,0,
,,,,,,,,L.macrochirus,10,0,0,
,,,,,,,,L.macrochirus,15,0,0,
,,,,,,,,L.macrochirus,20,0,0,
,,,,,,,,L.macrochirus,30,0,0,
,,,,,,,,M.saxitalis,20,0,0,
,,,,,,,,M.saxitalis,40,0,0,
,,,,,,,,M.saxitalis,60,0,0,
,,,,,,,,T.atratus,40,0,0,
,,,,,,,,T.atratus,60,0,0,
,,,,,,,,T.granulosa,5,0,0,
,,,,,,,,A.marmorata,5,0,0,
,,,,,,,,A.marmorata,10,0,0,
,,,,,,,,A.marmorata,20,0,0,
,,,,,,,,A.marmorata,30,0,0,
,,,,,,,,R.boylii,l,0,0,
,,,,,,,,R.boylii,a,0,0,
,,,,,,,,R.catesbeiana,2,0,0,
,,,,,,,,R.catesbeiana,5,0,0,
,,,,,,,,R.catesbeiana,10,0,0,
,,,,,,,,R.catesbeiana,15,0,0,
,,,,,,,,R.catesbeiana,20,0,0,